keggMetaboliteID	metaboliteName	pathwayEntry	pathwayName	pathwayClass	type
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	metabolite
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	metabolite
C00022	Pyruvate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00031	D-Glucose	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00117	D-Ribose 5-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00118	D-Glyceraldehyde 3-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00121	D-Ribose	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00197	3-Phospho-D-glycerate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00198	D-Glucono-1,5-lactone	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00199	D-Ribulose 5-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00204	2-Dehydro-3-deoxy-D-gluconate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00221	beta-D-Glucose	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00231	D-Xylulose 5-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00257	D-Gluconic acid	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00258	D-Glycerate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00279	D-Erythrose 4-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00345	6-Phospho-D-gluconate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00577	D-Glyceraldehyde	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00620	alpha-D-Ribose 1-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00631	2-Phospho-D-glycerate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00668	alpha-D-Glucose 6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00672	2-Deoxy-D-ribose 1-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00673	2-Deoxy-D-ribose 5-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C01151	D-Ribose 1,5-bisphosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C01172	beta-D-Glucose 6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C01218	6-Phospho-2-dehydro-D-gluconate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C01236	D-Glucono-1,5-lactone 6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C01801	Deoxyribose	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C03752	2-Amino-2-deoxy-D-gluconate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C05345	beta-D-Fructose 6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C05378	beta-D-Fructose 1,6-bisphosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C05382	Sedoheptulose 7-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C06019	D-arabino-Hex-3-ulose 6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C06473	2-Keto-D-gluconic acid	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C20589	D-Glucosaminate-6-phosphate	hsa00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism	metabolite
C00022	Pyruvate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00026	2-Oxoglutarate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00029	UDP-glucose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00103	D-Glucose 1-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00111	Glycerone phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00116	Glycerol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00167	UDP-glucuronate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00181	D-Xylose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00191	D-Glucuronate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
